10-60554-11;INDICATOR HYDRAULIC QUANTITY;
10-60554-15;INDICATOR HYDRAULIC QUANTITY;
10-60554-16;Hydraulic Quantity Indicator;
10-60554-23;INDICATOR HYDRAULIC QUANTITY;
10-60554-30;HYD QTY TRANSMITTER;
10-60590-3;NG STEERING VALVE;
10-60598-1;DEVICE CONTROL VALVE;
10-60701-3;BATTERY CHARGER;
10-60702-4;PITOT TUBE;
10-60705-1;TRIM CONTROL SWITCH;
10-60707-13;BATTERY;
10-60710-6;SHUTT OF VALVE;
10-60722-4;TANK U. ENG.OIL QTY;
10-60733-1;CREW OXYGEN S/O VLV;
10-60735-2;PASS OXY PRESS INDIC;
10-60737-1;EPR TX;
10-60737-13;ENG PRESS INDICATOR;
10-60737-14;ENG PRESS INDICATOR;
10-60737-16;EPR Indicator;
10-60751-1;UNIT ALTERNATE FLAP;
10-60751-2;UNIT ALTERNATE FLAP;
10-60755-5;INDICATOR RATE OF CLIMB;
10-60757-22;AC VOLTMETER;
10-60757-23;VOLMETER DC;
10-60757-25;FREQUENCY METER;
10-60757-27;METER AC AMP;
10-60757-28;CSD TEMP IND;
10-60811-3;VALVE SOLENOID;
10-60822-1;STABILIZER BRAKE;
10-60822-3;STABILIZER BRAKE;
10-60878-4;SENSOR STALL WARNING;
10-61068-1;WATER HEATER;
10-61071-32;STAB TRIM POTETIOMTR;
10-61072-5;AIL+ELEV FORCE TRAND;
10-61072-7;AIL+ELEV FORCE TRAND;
10-61093-101;VALVE ANTI SKID CONTROL;
10-61093-181;ACCUMULATOR BRAKE;
10-61093-201;VALVE ANTI SKID CONTROL;
10-61096;DETECTOR ENGINE FIRE;
10-61096-115;ENG DETECTOR UPPER;
10-61096-31;ENG & APU FIRE CONTR;
10-61096-34;FIRE LOOP SENSING;
10-61096-40;FIRE LOOP SENSING;
10-61209-17;CABIN PRESSURE CONTROLLER;
10-61219-11;FUEL TANK UNIT;
10-61219-114;FUEL PROBE;
10-61219-16;FUEL TANK UNIT;
10-61219-44;TANK UNIT;
10-61219-45;TANK UNIT;
10-61219-47;TANK UNIT;
10-61224-5;Transformer;
10-61224-7;CURRENT TRANSFORMER;
10-61233-1;HEAT EXCHANGER;
10-61245-3;MAIN GEAR BRAKE HYD;
10-61307-27;TOILET FLUSHING L/H;
10-61307-28;TOILET FLUSHING R/H;
10-61307-29;TOILET FLUSHING FWD;
10-61312-1;TE FLAP BALL;
10-61312-3;TE FLAP BALL;
10-61312-4;TE FLAP BALL;
10-61314-6;CONTROL ASSY START;
10-61323-192;ESCAPE SLIDE;
10-61323-305;Escape Slide;
10-61326-6;ELECTRIC ACTUATOR;
10-61329-12;WINDSHIELD MOTOR R/H;
10-61329-23;WINDSHIELD MOTOR L/H;
10-61359-3;AUTOM SPEEDBRAKE ACT;
10-61383-3;TRANSMITTER WATER QUANTITY;
10-61458-13;STATIC PROBE PITOT;
10-61458-26;PITOT STATIC;
10-61472-4;AUTOPILOT;
10-61783-201;EMERGENCY EXIT LIGHT;
10-61783-202;EMERGENCY EXIT LIGHT;
10-61784-4;EMERGENCY EXIT LIGHT;
10-61802-3;ALTIMETER STBY;
10-61813-58;PROXIMITY SWITCH;
10-61813-59;THRUST REV. TURB LH;
10-61818-161;INDICATOR AIR SPEED;
10-61818-18;MACH ASI;
10-61825-4;INDICATOR VERTICAL SPEED;
10-61826-8;IND ALTIMETER ELECTR;
10-61841-5;TRANSMISSION FLAP;
10-61890-1;TGT Indicator;
10-61890-13;EGT INDICATOR;
10-61890-4;EGT INDICATOR;
10-61909-1;EXTINGUISHER;
10-61926-4;INDICATOR FLAP POSITION;
10-61976-1;APU FUEL PUMP AY;
10-61982-11;A/T ACCELEROMETER;
10-61982-3;A/T SERVO ACTUATOR;
10-61985-2;ACTUATOR AUTOPILOT;
10-61991-1;INDICATOR ENGINE N1;
10-61991-2;INDICATOR ENGINE N2;
10-62027-1;ROTARY ACTUATOR;
10-62049-2;FUEL BOOSTER PUMP;
10-62049-3;FUEL BOOSTER PUMP;
10-62253-2;YAW DAMPER COUPLER;
10-62255-2;PRESS TRANDUCER;
10-631045-1;IGNITION EXCITER;
10-631045-2B;EXCITER;
10-6D533-1;FUEL BOOSTER PUMP;
10-6D737-13;INDICATOR PRESSURE;
10-6D737-14;INDICATOR PRESSURE;
100-136;OUT SIDE MICRO METER;
100-681-8;HYDRAULIC PUMP;
100-689-3;ELEC. MOTOR DRIVEN HYD PUMP;
100-689-4;ELEC. MOTOR DRIVEN HYD PUMP;
100000-60;ACTUATOT ELECTROMECHANICAL;
100067-9;EMERGENCY EXIT LIGHT;
1001X01A00000;GALLEY UNIT;
1001X01B00000;GALLEY UNIT;
1001X02B00000;GALLEY UNIT;
1002;PRESSURE GAUGE;
100309-1;PCU MOTOR;
100309-2;SYNCHRO MOTOR;
10031-0000-01;ENGINE OIL QUANTITY INDICATOR;
1004PGSB;TRANSMITTER TORQUE PRESSURE;
1005PG-SB;UNKNOWN-27;
1005PGSB;TRANSMITTER TORQUE PRESSURE;
100640-1;F D R;
100865;BATTERY CHARGER;
100919-1;FLIGHT DATA RECORD;
100946;HAND MIKE;
101-00153;PITOT STATIC TESTSET;
101-00169;TEST SET PITOT STATIC;
101-00210;PRESSURE TESTER;
101-004;TESTSET-RVDT 220 VAC;
101-01200;MASTER COMPASS;
1010-1;RELAY;
101001-10;UNIT AUDIO CONTROL;
10100CX;OXYGEN MASKER;
10100D3B5;GOGGLE-SMOKE;
101011;ACCELEROMETER;
1010141;ENCODER TRIP & DATA;
101018-113;Escape Slide;
101023;MAGAZINE-FDR;
101035-1;FLIGHT DATA RECORDER;
10111;UNFEATHER PUMP;
101150-3;STBY RUDDER ACTUATOR;
10117N01N00;POSITION INDICATOR;
10138N01M01;ENGINE STANDBY INDICATOR;
1014-01;PC SOFTWARE;
101409;DAMPER FLUTTER;
101460;POWER UNIT;
101616-105;SLIDE ESCAPE-FWD;
101616-205;SLIDE ESCAPE-FWD;
101618-113;SLIDE ESCAPE-AFT;
101618-213;SLIDE ESCAPE-AFT;
101670;MIC MONITOR;
101720-011000;ALTIMETER INDICATOR;
101730-01419;INDICATOR ALTIMETER;
101735-01455;INDICATOR ALTIMETER;
10175N01T00;EXCHAUST TEMPERATURE INDICATOR;
101SUE;VOR FILTER UNIT;
102-00002;VALVE;
102-00012;OIL TEMPERATURE BULB;
102001-10;SPEAKER AMPLIFIER;
102001-20;SPEAKER COCKPIT;
10206;PC4 MODE & AUDIO;
1021-814-5920;MOTOR PUMP;
102116-2-1;CONTROL-CABIN PRESS;
102116-3-1;CONTROL-CABIN PRESS;
102116-416-3;CONT-CABIN PRESSURE;
1024PG-SB;TRANSMITTER OIL PRESSURE;
102526003;BYPASS RELIEF VALVE;
102556-300;UNKNOWN-28;
102644-6;CABIN PRESS CONTROL;
10276;FILTER ELEMENT;
10277B;FILTER AIR BLEED;
102AH2AG;TOTAL AIR TEMP PROBE;
102AU1AF;TOTAL TEMP SENSOR;
102JE2FG;AIR TEMPERATURE L/H;
102LA2AG;ASPIRATED TAT SENSOR;
103-135;OUT SIDE MICRO METER;
103-210A;OUT SIDE MICRO METER;
103-217;OUT SIDE MICRO METER;
103-218;OUT SIDE MICRO METER;
103-220A;OUT SIDE MICRO METER;
103-907;MICROMETER SET;
103-909;MICROMETER SET;
103-922;MICROMETER SET;
10300-10;VALVE;
10300-9;VALVE;
103000-2;TRANSFORMER;
103166-422;VALVE OUT FLOW;
103298-1;SAFETY & OUTFLOW VLV;
103380-5;CABIN OUT FLOW VALVE;
1034;VALVE RELIEF;
103583001;ACTUATOR NOSE LANDING GEAR;
1035PG;FUEL PRESS TX;
103600;COCKPIT VOICE RECORDER;
103610-1;MONITOR MIKE CVR;
1036102;MONITOR MIKE;
103612001;ACTUATOR MAIN LANDING GEAR;
103641002;VALVE NOSE STEERING  CONTROL;
103641003;VALVE STEERING;
103641004;VALVE   NOSE STEERING CONTROL;
103696-1;VALVE OUT FLOW;
103698-1;VALVE OUT FLOW;
103720-2;VALVE PRESSURE RELIEF;
103722-3;VALVE PRESSURE RELIEF;
103781604;IGNITION UNIT-HV;
103811602E;IGNITION UNIT-HV;
104001-10;INTERPHONE AMPLIFIER;
104022;WINDSCREEN UNIT;
1041GT2094F;HEADSET;
1041GT9-64A26;HEADSET;
104209;ARM ACTUATOR BEAM;
104233;VALVE SHUT OFF;
104288;VALVE SPILL;
1043-26;EVACUATION SLIDE CYC;
1043-43;EVACUATION SLIODE CY;
1043-87;EVACUATION SLIDE CYC;
10458N03F01;F/F INDICATOR;
104596;VALVE SHUTTLE;
104604;VALVE SPILL;
